Entity Type,Entity,Harmful Type,Harmful Term,Search Term,File Name,Image URL,X,Y,Width,Height
game,Roblox,violence,torture,Roblox torture,,,,,,
game,Roblox,violence,murder,Roblox murder,,,,,,
game,Roblox,violence,violence,Roblox violence,,,,,,
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBUjeNOx_hO6GewthgtiMgWwD21kt6M1rBgpC97KQaJJQFUfWG&s,31.0,196.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjN9nyva1lNIl0L5gDHLKkXAA_1icry9FrJJ2h9jnfbqW_26MY&s,415.0,196.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjAtVDYZ242KmZpSJhKDA3aBvvaFY75_UTKB-Z1VTiYqQ5oC4&s,799.0,196.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTggf84PyJr2CrHb8Ojg7rSRlNLIUkJM2TAnhmgX2L5J7juFL3P&s,1183.0,196.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxfHBrNs4tjlMVJYVMbFxa10_pA_EGhEKjPLPbvqDhCX-pC66T&s,1567.0,196.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlXetArA_6LaZQnbqzsTT8hqvyCV-OTOkyixpiEQtrD55-Z65i&s,11.0,406.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIa58yAHKrbI8ro2OWeCGjV7VRoJ2bsnTaGbgasNsmk0HdIkf4&s,355.0,406.0,180.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyqXUgeZZXSek6XlpcrzKvNmx7-3bwqDDf2RwQPsgUBU-_yM0&s,557.0,406.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJyTGdCmvaainJRzgkwh8rCiJ2iZ-qa6t9YVmpYwsq9DL0s6I&s,900.0,406.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3FpfU7XCZyG4OCKy4AJ_4jH7JlDp3asWRcg7zVPS6ggT3Oh0&s,1244.0,406.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8_tj0R1iiu09vjB8PYLLNPPvqawa9OIb5pzPUi2jTCIJJrXT9&s,1588.0,406.0,321.0,180.0
game,Roblox,violence,Bullying,Roblox Bullying,Roblox_Bullying_image_12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW0HFZG7SNUYYmFFb9KYpoKGouPvVFBKU_D0xyaHEtARhpBIE&s,31.0,616.0,321.0,180.0
game,Roblox,violence,fights,Roblox fights,Roblox_fights_image_1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcCgELrTgN6S2ZmeLIDjVOGf09L5DrxF_ZcOcopHAosLczPg4&s,27.0,196.0,270.0,180.0
game,Roblox,violence,fights,Roblox fights,Roblox_fights_image_2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6CZAmTzybk3wZPAOvfr3T_02F1GK_ZJG4DvwmW1rtfkblCSXt&s,352.0,196.0,321.0,180.0
game,Roblox,violence,fights,Roblox fights,Roblox_fights_image_3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVmkI6j8xAIOW2cG0MRZ3p0nxqziuImQNpNqqKfwrPB32BCE0&s,727.0,196.0,180.0,180.0
game,Roblox,violence,fights,Roblox fights,Roblox_fights_image_4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwxbz0A7hLb6Xge7HbgqKL5do3bTH9Y30CpFe2fkYrtvyzdRbM&s,962.0,196.0,321.0,180.0
game,Roblox,violence,fights,Roblox fights,Roblox_fights_image_5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhpO-hf-skhoqIvCQoOIk4VdM8wWSccYU1ChYm6PscEJl4bsGm&s,1337.0,196.0,180.0,180.0
game,Roblox,violence,fights,Roblox fights,Roblox_fights_image_6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAQtkwarrOAWK2xm9M5x3SpxwHQ_QuUuGVAV0VSGsWS_pVVGe8&s,1571.0,196.0,321.0,180.0
